"Libellé";"Indice des prix à la consommation - Base 2025 - Ensemble des ménages - France - Ensemble hors Tabac";"Codes";""
"idBank";"011814056";"";""
"Dernière mise à jour";"13/03/2026 08:45";"";""
"Période";"";"";"Date de parution au JO"
"2015-01";"82.5";"A";"25/02/2015"
"2015-02";"83.05";"A";"19/03/2015"
"2015-03";"83.6";"A";"17/04/2015"
"2015-04";"83.7";"A";"17/05/2015"
"2015-05";"83.9";"A";"13/06/2015"
"2015-06";"83.84";"A";"22/07/2015"
"2015-07";"83.49";"A";"14/08/2015"
"2015-08";"83.76";"A";"17/09/2015"
"2015-09";"83.42";"A";"15/10/2015"
"2015-10";"83.47";"A";"13/11/2015"
"2015-11";"83.3";"A";"11/12/2015"
"2015-12";"83.49";"A";"20/01/2016"
"2016-01";"82.68";"A";"19/02/2016"
"2016-02";"82.89";"A";"16/03/2016"
"2016-03";"83.48";"A";"14/04/2016"
"2016-04";"83.54";"A";"20/05/2016"
"2016-05";"83.89";"A";"16/06/2016"
"2016-06";"84.0";"A";"14/07/2016"
"2016-07";"83.67";"A";"18/08/2016"
"2016-08";"83.95";"A";"15/09/2016"
"2016-09";"83.75";"A";"13/10/2016"
"2016-10";"83.77";"A";"16/11/2016"
"2016-11";"83.76";"A";"15/12/2016"
"2016-12";"84.01";"A";"13/01/2017"
"2017-01";"83.8";"A";"22/02/2017"
"2017-02";"83.89";"A";"16/03/2017"
"2017-03";"84.41";"A";"14/04/2017"
"2017-04";"84.49";"A";"31/05/2017"
"2017-05";"84.53";"A";"17/06/2017"
"2017-06";"84.54";"A";"16/07/2017"
"2017-07";"84.24";"A";"12/08/2017"
"2017-08";"84.69";"A";"15/09/2017"
"2017-09";"84.55";"A";"14/10/2017"
"2017-10";"84.63";"A";"16/11/2017"
"2017-11";"84.69";"A";"15/12/2017"
"2017-12";"84.93";"A";"13/01/2018"
"2018-01";"84.86";"A";"23/02/2018"
"2018-02";"84.83";"A";"16/03/2018"
"2018-03";"85.48";"A";"13/04/2018"
"2018-04";"85.62";"A";"16/05/2018"
"2018-05";"86.01";"A";"16/06/2018"
"2018-06";"86.03";"A";"13/07/2018"
"2018-07";"85.93";"A";"18/08/2018"
"2018-08";"86.36";"A";"14/09/2018"
"2018-09";"86.17";"A";"12/10/2018"
"2018-10";"86.27";"A";"15/11/2018"
"2018-11";"86.08";"A";"14/12/2018"
"2018-12";"86.1";"A";"16/01/2019"
"2019-01";"85.69";"A";"23/02/2019"
"2019-02";"85.74";"A";"15/03/2019"
"2019-03";"86.32";"A";"12/04/2019"
"2019-04";"86.6";"A";"16/05/2019"
"2019-05";"86.68";"A";"15/06/2019"
"2019-06";"86.9";"A";"12/07/2019"
"2019-07";"86.72";"A";"15/08/2019"
"2019-08";"87.13";"A";"13/09/2019"
"2019-09";"86.83";"A";"16/10/2019"
"2019-10";"86.79";"A";"15/11/2019"
"2019-11";"86.73";"A";"13/12/2019"
"2019-12";"87.12";"A";"16/01/2020"
"2020-01";"86.75";"A";"21/02/2020"
"2020-02";"86.74";"A";"17/03/2020"
"2020-03";"86.67";"A";"16/04/2020"
"2020-04";"86.64";"A";"16/05/2020"
"2020-05";"86.76";"A";"19/06/2020"
"2020-06";"86.83";"A";"17/07/2020"
"2020-07";"87.16";"A";"15/08/2020"
"2020-08";"87.08";"A";"16/09/2020"
"2020-09";"86.63";"A";"16/10/2020"
"2020-10";"86.59";"A";"14/11/2020"
"2020-11";"86.68";"A";"16/12/2020"
"2020-12";"86.88";"A";"17/01/2021"
"2021-01";"87.0";"A";"20/02/2021"
"2021-02";"87.0";"A";"17/03/2021"
"2021-03";"87.54";"A";"17/04/2021"
"2021-04";"87.63";"A";"18/05/2021"
"2021-05";"87.92";"A";"17/06/2021"
"2021-06";"88.04";"A";"14/07/2021"
"2021-07";"88.09";"A";"14/08/2021"
"2021-08";"88.64";"A";"17/09/2021"
"2021-09";"88.45";"A";"17/10/2021"
"2021-10";"88.82";"A";"19/11/2021"
"2021-11";"89.15";"A";"17/12/2021"
"2021-12";"89.33";"A";"15/01/2022"
"2022-01";"89.55";"A";"19/02/2022"
"2022-02";"90.25";"A";"17/03/2022"
"2022-03";"91.56";"A";"16/04/2022"
"2022-04";"91.96";"A";"15/05/2022"
"2022-05";"92.6";"A";"16/06/2022"
"2022-06";"93.31";"A";"14/07/2022"
"2022-07";"93.57";"A";"13/08/2022"
"2022-08";"94.0";"A";"16/09/2022"
"2022-09";"93.46";"A";"16/10/2022"
"2022-10";"94.45";"A";"16/11/2022"
"2022-11";"94.75";"A";"16/12/2022"
"2022-12";"94.66";"A";"14/01/2023"
"2023-01";"95.03";"A";"18/02/2023"
"2023-02";"96.03";"A";"16/03/2023"
"2023-03";"96.75";"A";"16/04/2023"
"2023-04";"97.32";"A";"14/05/2023"
"2023-05";"97.26";"A";"17/06/2023"
"2023-06";"97.44";"A";"16/07/2023"
"2023-07";"97.49";"A";"12/08/2023"
"2023-08";"98.48";"A";"16/09/2023"
"2023-09";"97.96";"A";"14/10/2023"
"2023-10";"98.1";"A";"16/11/2023"
"2023-11";"97.93";"A";"16/12/2023"
"2023-12";"98.06";"A";"17/01/2024"
"2024-01";"97.78";"A";"17/02/2024"
"2024-02";"98.61";"A";"16/03/2024"
"2024-03";"98.82";"A";"13/04/2024"
"2024-04";"99.33";"A";"22/05/2024"
"2024-05";"99.36";"A";"18/06/2024"
"2024-06";"99.43";"A";"14/07/2024"
"2024-07";"99.62";"A";"15/08/2024"
"2024-08";"100.16";"A";"14/09/2024"
"2024-09";"98.9";"A";"16/10/2024"
"2024-10";"99.18";"A";"17/11/2024"
"2024-11";"99.03";"A";"15/12/2024"
"2024-12";"99.22";"A";"16/01/2025"
"2025-01";"99.32";"A";"19/02/2025"
"2025-02";"99.33";"A";"16/03/2025"
"2025-03";"99.52";"A";"16/04/2025"
"2025-04";"100.09";"A";"16/05/2025"
"2025-05";"99.96";"A";"14/06/2025"
"2025-06";"100.35";"A";"13/07/2025"
"2025-07";"100.56";"A";"15/08/2025"
"2025-08";"100.99";"A";"13/09/2025"
"2025-09";"99.99";"A";"17/10/2025"
"2025-10";"100.06";"A";"15/11/2025"
"2025-11";"99.87";"A";"13/12/2025"
"2025-12";"99.95";"A";"16/01/2026"
