"Libellé";"Indice des prix à la consommation harmonisé - Base 2015 - Ensemble des ménages - France - Nomenclature Coicop : 12.5.3.2 - Assurance complémentaire santé - Séries arrêtées";"Codes"
"idBank";"001762477";""
"Dernière mise à jour";"15/01/2026 08:45";""
"Période";"";""
"2015-01";"99.83";"A"
"2015-02";"99.83";"A"
"2015-03";"99.83";"A"
"2015-04";"100.68";"A"
"2015-05";"100.68";"A"
"2015-06";"100.68";"A"
"2015-07";"100.18";"A"
"2015-08";"100.18";"A"
"2015-09";"98.48";"A"
"2015-10";"98.48";"A"
"2015-11";"100.18";"A"
"2015-12";"101.0";"A"
"2016-01";"102.57";"A"
"2016-02";"102.6";"A"
"2016-03";"102.6";"A"
"2016-04";"102.81";"A"
"2016-05";"102.69";"A"
"2016-06";"102.69";"A"
"2016-07";"102.3";"A"
"2016-08";"102.25";"A"
"2016-09";"100.82";"A"
"2016-10";"100.82";"A"
"2016-11";"102.26";"A"
"2016-12";"102.2";"A"
"2017-01";"104.46";"A"
"2017-02";"104.46";"A"
"2017-03";"104.46";"A"
"2017-04";"104.72";"A"
"2017-05";"104.72";"A"
"2017-06";"104.72";"A"
"2017-07";"104.22";"A"
"2017-08";"104.22";"A"
"2017-09";"102.82";"A"
"2017-10";"101.83";"A"
"2017-11";"103.14";"A"
"2017-12";"103.86";"A"
"2018-01";"105.44";"A"
"2018-02";"105.46";"A"
"2018-03";"105.46";"A"
"2018-04";"105.76";"A"
"2018-05";"105.76";"A"
"2018-06";"105.76";"A"
"2018-07";"104.76";"A"
"2018-08";"104.76";"A"
"2018-09";"103.49";"A"
"2018-10";"103.49";"A"
"2018-11";"104.78";"A"
"2018-12";"105.69";"A"
"2019-01";"106.8";"A"
"2019-02";"106.78";"A"
"2019-03";"107.15";"A"
"2019-04";"107.36";"A"
"2019-05";"105.5";"A"
"2019-06";"107.36";"A"
"2019-07";"107.29";"A"
"2019-08";"107.13";"A"
"2019-09";"105.72";"A"
"2019-10";"105.72";"A"
"2019-11";"105.68";"A"
"2019-12";"105.68";"A"
"2020-01";"108.35";"A"
"2020-02";"108.35";"A"
"2020-03";"108.35";"A"
"2020-04";"108.66";"A"
"2020-05";"108.66";"A"
"2020-06";"104.49";"A"
"2020-07";"104.57";"A"
"2020-08";"105.53";"A"
"2020-09";"103.64";"A"
"2020-10";"103.64";"A"
"2020-11";"105.57";"A"
"2020-12";"105.64";"A"
"2021-01";"107.05";"A"
"2021-02";"107.2";"A"
"2021-03";"105.33";"A"
"2021-04";"107.33";"A"
"2021-05";"107.33";"A"
"2021-06";"107.33";"A"
"2021-07";"106.87";"A"
"2021-08";"107.35";"A"
"2021-09";"105.76";"A"
"2021-10";"105.88";"A"
"2021-11";"106.83";"A"
"2021-12";"109.18";"A"
"2022-01";"109.83";"A"
"2022-02";"109.77";"A"
"2022-03";"109.26";"A"
"2022-04";"110.15";"A"
"2022-05";"111.36";"A"
"2022-06";"111.36";"A"
"2022-07";"110.25";"A"
"2022-08";"110.26";"A"
"2022-09";"108.76";"A"
"2022-10";"108.76";"A"
"2022-11";"110.3";"A"
"2022-12";"111.67";"A"
"2023-01";"113.04";"A"
"2023-02";"113.18";"A"
"2023-03";"113.5";"A"
"2023-04";"112.07";"A"
"2023-05";"112.74";"A"
"2023-06";"114.88";"A"
"2023-07";"114.43";"A"
"2023-08";"114.4";"A"
"2023-09";"113.26";"A"
"2023-10";"112.46";"A"
"2023-11";"112.26";"A"
"2023-12";"113.79";"A"
"2024-01";"121.54";"A"
"2024-02";"122.35";"A"
"2024-03";"118.32";"A"
"2024-04";"121.77";"A"
"2024-05";"121.77";"A"
"2024-06";"123.57";"A"
"2024-07";"122.63";"A"
"2024-08";"123.36";"A"
"2024-09";"122.71";"A"
"2024-10";"122.71";"A"
"2024-11";"123.05";"A"
"2024-12";"126.26";"A"
"2025-01";"129.58";"A"
"2025-02";"130.44";"A"
"2025-03";"130.46";"A"
"2025-04";"130.06";"A"
"2025-05";"132.94";"A"
"2025-06";"132.94";"A"
"2025-07";"131.6";"A"
"2025-08";"130.92";"A"
"2025-09";"128.5";"A"
"2025-10";"128.5";"A"
"2025-11";"129.25";"A"
"2025-12";"129.25";"A"
