code_dept;date;valeur
01;2015-01;7.3
01;2015-02;7.3
01;2015-03;7.3
01;2015-04;7.5
01;2015-05;7.5
01;2015-06;7.5
01;2015-07;7.3
01;2015-08;7.3
01;2015-09;7.3
01;2015-10;7.3
01;2015-11;7.3
01;2015-12;7.3
01;2016-01;7.4
01;2016-02;7.4
01;2016-03;7.4
01;2016-04;7.4
01;2016-05;7.4
01;2016-06;7.4
01;2016-07;7.3
01;2016-08;7.3
01;2016-09;7.3
01;2016-10;7.3
01;2016-11;7.3
01;2016-12;7.3
01;2017-01;7.0
01;2017-02;7.0
01;2017-03;7.0
01;2017-04;6.9
01;2017-05;6.9
01;2017-06;6.9
01;2017-07;6.8
01;2017-08;6.8
01;2017-09;6.8
01;2017-10;6.3
01;2017-11;6.3
01;2017-12;6.3
01;2018-01;6.4
01;2018-02;6.4
01;2018-03;6.4
01;2018-04;6.3
01;2018-05;6.3
01;2018-06;6.3
01;2018-07;6.3
01;2018-08;6.3
01;2018-09;6.3
01;2018-10;6.2
01;2018-11;6.2
01;2018-12;6.2
01;2019-01;6.2
01;2019-02;6.2
01;2019-03;6.2
01;2019-04;6.0
01;2019-05;6.0
01;2019-06;6.0
01;2019-07;6.0
01;2019-08;6.0
01;2019-09;6.0
01;2019-10;6.0
01;2019-11;6.0
01;2019-12;6.0
01;2020-01;5.8
01;2020-02;5.8
01;2020-03;5.8
01;2020-04;5.6
01;2020-05;5.6
01;2020-06;5.6
01;2020-07;6.8
01;2020-08;6.8
01;2020-09;6.8
01;2020-10;6.1
01;2020-11;6.1
01;2020-12;6.1
01;2021-01;6.2
01;2021-02;6.2
01;2021-03;6.2
01;2021-04;6.0
01;2021-05;6.0
01;2021-06;6.0
01;2021-07;5.9
01;2021-08;5.9
01;2021-09;5.9
01;2021-10;5.5
01;2021-11;5.5
01;2021-12;5.5
01;2022-01;5.4
01;2022-02;5.4
01;2022-03;5.4
01;2022-04;5.5
01;2022-05;5.5
01;2022-06;5.5
01;2022-07;5.4
01;2022-08;5.4
01;2022-09;5.4
01;2022-10;5.3
01;2022-11;5.3
01;2022-12;5.3
01;2023-01;5.2
01;2023-02;5.2
01;2023-03;5.2
01;2023-04;5.4
01;2023-05;5.4
01;2023-06;5.4
01;2023-07;5.6
01;2023-08;5.6
01;2023-09;5.6
01;2023-10;5.7
01;2023-11;5.7
01;2023-12;5.7
01;2024-01;5.6
01;2024-02;5.6
01;2024-03;5.6
01;2024-04;5.5
01;2024-05;5.5
01;2024-06;5.5
01;2024-07;5.5
01;2024-08;5.5
01;2024-09;5.5
01;2024-10;5.5
01;2024-11;5.5
01;2024-12;5.5
01;2025-01;5.6
01;2025-02;5.6
01;2025-03;5.6
01;2025-04;5.6
01;2025-05;5.6
