date;valeur
2015-01;99.83
2015-02;99.83
2015-03;99.83
2015-04;100.68
2015-05;100.68
2015-06;100.68
2015-07;100.18
2015-08;100.18
2015-09;98.48
2015-10;98.48
2015-11;100.18
2015-12;101.0
2016-01;102.57
2016-02;102.6
2016-03;102.6
2016-04;102.81
2016-05;102.69
2016-06;102.69
2016-07;102.3
2016-08;102.25
2016-09;100.82
2016-10;100.82
2016-11;102.26
2016-12;102.2
2017-01;104.46
2017-02;104.46
2017-03;104.46
2017-04;104.72
2017-05;104.72
2017-06;104.72
2017-07;104.22
2017-08;104.22
2017-09;102.82
2017-10;101.83
2017-11;103.14
2017-12;103.86
2018-01;105.44
2018-02;105.46
2018-03;105.46
2018-04;105.76
2018-05;105.76
2018-06;105.76
2018-07;104.76
2018-08;104.76
2018-09;103.49
2018-10;103.49
2018-11;104.78
2018-12;105.69
2019-01;106.8
2019-02;106.78
2019-03;107.15
2019-04;107.36
2019-05;105.5
2019-06;107.36
2019-07;107.29
2019-08;107.13
2019-09;105.72
2019-10;105.72
2019-11;105.68
2019-12;105.68
2020-01;108.35
2020-02;108.35
2020-03;108.35
2020-04;108.66
2020-05;108.66
2020-06;104.49
2020-07;104.57
2020-08;105.53
2020-09;103.64
2020-10;103.64
2020-11;105.57
2020-12;105.64
2021-01;107.05
2021-02;107.2
2021-03;105.33
2021-04;107.33
2021-05;107.33
2021-06;107.33
2021-07;106.87
2021-08;107.35
2021-09;105.76
2021-10;105.88
2021-11;106.83
2021-12;109.18
2022-01;109.83
2022-02;109.77
2022-03;109.26
2022-04;110.15
2022-05;111.36
2022-06;111.36
2022-07;110.25
2022-08;110.26
2022-09;108.76
2022-10;108.76
2022-11;110.3
2022-12;111.67
2023-01;113.04
2023-02;113.18
2023-03;113.5
2023-04;112.07
2023-05;112.74
2023-06;114.88
2023-07;114.43
2023-08;114.4
2023-09;113.26
2023-10;112.46
2023-11;112.26
2023-12;113.79
2024-01;121.54
2024-02;122.35
2024-03;118.32
2024-04;121.77
2024-05;121.77
2024-06;123.57
2024-07;122.63
2024-08;123.36
2024-09;122.71
2024-10;122.71
2024-11;123.05
2024-12;126.26
2025-01;129.58
2025-02;130.44
2025-03;130.46
2025-04;130.06
2025-05;132.94
2025-06;132.94
2025-07;131.6
2025-08;130.92
2025-09;128.5
2025-10;128.5
2025-11;129.25
2025-12;129.25
